SP	FLAM	DIF	FRic	FEve	FDiv	FDis	RaoQ	CWM.LDMC	CWM.SLA	CWM.TUCig	CWM.TMC
CHU_ER_HI	0.1524	-0.003706667	0.180194943	0.711326119	0.822033072	0.423943464	0.190867562	34.07333333	17.73333333	129.8	0.176666667
CHU_ER_LE	0.19296	0.046126667	2.589004048	0.770403622	0.827338215	1.583892094	2.666666667	34.00333333	13.25333333	150.1666667	0.2
CHU_ER_PLE	0.1481	0.015193333	2.929375805	0.829542734	0.862310482	1.602658178	2.666666667	41.68333333	9.013333333	133.5333333	0.34
CHU_LE_HI	0.17668	-0.007686667	0.095424929	0.608753177	0.748624203	0.401989973	0.185955512	28.67	22.49333333	146	0.14
CHU_PLE_HI	0.17198	0.00154	0.199687285	0.836165929	0.868020862	0.415121637	0.178102453	36.35	18.25333333	121.05	0.28
CHU_PLE_LE	0.178	0.016833333	2.913722281	0.756405633	0.851203302	1.605498484	2.666666667	36.28	13.77333333	144.3333333	0.303333333
CO_CHU_ER	0.14396	0.02804	3.218198893	0.907695887	0.897666045	1.618439138	2.666666667	42.84666667	8.35	127.2	0.516666667
CO_CHU_HI	0.17168	0.018226667	0.19166904	0.926258146	0.833516119	0.410171853	0.17606142	37.51333333	17.59	111.55	0.456666667
CO_CHU_LE	0.1848	0.04062	2.848259309	0.766361669	0.84708976	1.601292224	2.666666667	37.44333333	13.11	138	0.48
CO_CHU_PLE	0.18118	0.050926667	2.790660727	0.744934024	0.840814217	1.599109085	2.666666667	45.12333333	8.87	121.3666667	0.62
CO_ER_HI	0.14064	0.00202	0.140592518	0.972134261	0.738037203	0.401758657	0.184311449	30.27666667	16.17666667	140.25	0.46
CO_ER_LE	0.1362	0.006853333	2.086933033	0.949304824	0.743386585	1.533102448	2.666666667	30.20666667	11.69666667	157.1333333	0.483333333
CO_ER_PLE	0.12822	0.0128	2.995965	0.9446879	0.8454567	1.602399	2.666666667	37.88667	7.456667	140.5	0.6233333
CO_LE_HI	0.2062	0.03932	0.058876501	0.352359419	0.756104795	0.417043491	0.197159115	24.87333333	20.93666667	156.45	0.423333333
CO_MA_CHU	0.11462	0.011113333	2.846275916	0.937183802	0.824227527	1.591913523	2.666666667	43.64666667	7.213333333	88.39666667	0.76
CO_MA_ER	0.1018	0.013126667	3.352543789	0.968605616	0.922172643	1.62612274	2.666666667	36.41	5.8	107.53	0.763333333
CO_MA_HI	0.16556	0.039353333	0.161961431	0.606710308	0.797144493	0.433239812	0.202747526	31.07666667	15.04	82.045	0.703333333
CO_MA_LE	0.14006	0.023126667	2.874012737	0.833563977	0.850431001	1.598690887	2.666666667	31.00666667	5.8	118.33	0.726666667
CO_MA_PLE	0.10972	0.006713333	3.137221794	0.893203476	0.882427889	1.613564676	2.666666667	38.68666667	6.32	101.6966667	0.866666667
CO_PLE_HI	0.16182	0.008866667	1.281773756	0.628371715	0.737044592	1.51341412	2.666666667	32.48333333	12.21666667	151.3	0.586666667
CO_PLE_LE	0.16576	0.02208	0.152220438	0.724054296	0.77852695	0.420618913	0.195739535	32.55333333	16.69666667	131.5	0.563333333
ER_LE_HI	0.17758	0.008046667	0.08926617	0.548799451	0.758999689	0.405064756	0.187731669	21.43333333	21.08	174.7	0.143333333
ER_PLE_HI	0.1624	0.006793333	0.160422212	0.837857597	0.773697307	0.412222192	0.187236664	29.11333333	16.84	149.75	0.283333333
ER_PLE_LE	0.1497	0.003366667	2.017236125	0.778139024	0.759695544	1.541601776	2.666666667	29.04333333	12.36	163.4666667	0.306666667
MA_CHU_ER	0.14556	0.0394	3.458054067	0.978361291	0.980860646	1.632641994	2.666666667	40.20666667	9.013333333	100.5633333	0.48
MA_CHU_HI	0.17278	0.029086667	0.20479638	0.996686145	0.886866088	0.407185246	0.168835862	34.87333333	16.59666667	71.595	0.42
MA_CHU_LE	0.18674	0.05232	2.905883938	0.924695386	0.834138178	1.596563488	2.666666667	34.80333333	12.11666667	111.3633333	0.443333333
MA_CHU_PLE	0.16658	0.046086667	2.627406732	0.86046549	0.807535608	1.579532575	2.666666667	42.48333333	7.876666667	94.73	0.583333333
MA_ER_HI	0.15764	0.02878	0.147011945	0.877861541	0.749839697	0.40756441	0.187394764	27.63666667	15.18333333	100.295	0.423333333
MA_ER_LE	0.15348	0.033893333	2.32317546	0.992494077	0.7633599	1.551280551	2.666666667	27.56666667	10.70333333	130.4966667	0.446666667
MA_ER_PLE	0.15024	0.04458	3.219171365	0.849985747	0.89336529	1.619939593	2.666666667	35.24666667	6.463333333	113.8633333	0.586666667
MA_LE_HI	0.20664	0.04952	0.056619101	0.331338903	0.755509079	0.41853754	0.198263327	22.23333333	19.94333333	116.495	0.386666667
MA_PLE_HI	0.1805	0.037306667	0.179640678	0.727989601	0.824065802	0.422568062	0.189945743	29.91333333	15.70333333	91.545	0.526666667
MA_PLE_LE	0.16788	0.03396	2.119057585	0.804159429	0.763851268	1.546342084	2.666666667	29.84333333	11.22333333	124.6633333	0.55
PLE_LE_HI	0.20394	0.020073333	0.069406065	0.419588219	0.759197045	0.412539784	0.193534979	23.71	21.6	165.95	0.246666667
