SP	Value
CHU	103.030303
CHU	98.50746269
CHU	123.4042553
CHU	87.61061947
CHU	119.4244604
CHU	78.22580645
CHU	105.1724138
CHU	92.85714286
CHU	105.7692308
CHU	96.55172414
CO	73.5042735
CO	230.2816901
CO	62.74509804
CO	137.2180451
CO	163.7681159
CO	164.7058824
CO	116.5919283
CO	90.24390244
CO	62.26415094
CO	118.622449
ER	117.4603175
ER	147.6923077
ER	204.5751634
ER	193.0379747
ER	152.2875817
ER	179.6992481
ER	158.4269663
ER	167.6190476
ER	142.7184466
ER	121.6216216
LE	156.1111111
LE	112.0141343
LE	207.9872204
LE	108.6538462
LE	335.2380952
LE	215.6424581
LE	200.6410256
MA	55.47945205
MA	37.74647887
MA	44.02420575
MA	39.5256917
MA	25.2173913
MA	20.85020243
MA	54.26829268
MA	38.64168618
MA	61.30653266
MA	43.86459803
PLE	117.8571429
PLE	134.375
PLE	164
PLE	129.1666667
PLE	145
PLE	134.6153846
PLE	136.1111111
PLE	156.5217391
PLE	150
PLE	150
