SP	Value
CHU	78.34331337
CHU	49.7
CHU	74.90039841
CHU	31.4
CHU	57.32801595
CHU	84.17910448
CHU	90.10989011
CHU	88.52295409
CHU	78.64271457
CHU	91.4
CO	94.01197605
CO	95.41832669
CO	97.30538922
CO	98.89779559
CO	94.12935323
CO	95.41832669
CO	89.43170489
CO	94.31137725
CO	95.4045954
CO	92.41516966
ER	71.73913043
ER	58.82352941
ER	66.97247706
ER	71.3
ER	74.85714286
ER	77.11738484
ER	53.79310345
ER	58.8
ER	70.94890511
ER	58.1032413
HY	57.26495726
HY	63.79310345
HY	34.89932886
HY	10.63829787
HY	44.26229508
HY	38.60759494
HY	69.81132075
HY	38.21989529
HY	44.91017964
HY	25.84269663
LE	40.30501089
LE	64.47761194
LE	50.67385445
LE	60.79027356
LE	18.41059603
LE	26.68711656
LE	27.78761062
LE	21.53179191
LE	19.39799331
LE	31.17870722
MA	81.48148148
MA	83.68368368
MA	88.4
MA	96.39278557
MA	86.24127617
MA	99.59798995
MA	96.69338677
MA	90.95477387
MA	99.1
MA	98.9
PLE	66.00199402
PLE	79.7
PLE	73.87836491
PLE	80.98098098
PLE	85.68568569
PLE	74.8
PLE	93.18637275
PLE	93.97590361
PLE	91.2
PLE	93.13432836
