SP	Value
CHU	60.83333333
CHU	50.09090909
CHU	53.7
CHU	52.5
CHU	51.6
CHU	50.76923077
CHU	57.2
CHU	55
CHU	49.4
CHU	57.70588235
CO	42.79063361
CO	41.02192982
CO	38.27857143
CO	41.49853372
CO	46.20535714
CO	37.86666667
CO	43.96070461
CO	43.65653495
CO	45.43715847
CO	44.22022161
ER	33.35955056
ER	31.96240602
ER	35.05371901
ER	29.17367601
ER	32.00396825
ER	34.11169025
ER	28.81955763
ER	30.16372796
ER	32.28486647
ER	34.74045802
HY	15.13793103
HY	18.86206897
HY	14.16666667
HY	15.61538462
HY	16.08333333
HY	11.83636364
HY	14.05714286
HY	12.51612903
HY	22.42424242
HY	21
LE	19.97959184
LE	19.25882353
LE	15.74422188
LE	6.989145183
LE	3.860648554
LE	24.11439114
LE	11.64010283
LE	22.10829608
LE	16.90035587
LE	19.05379421
MA	40.52012712
MA	36.25395778
MA	30.19440994
MA	31.28121354
MA	35.37444444
MA	34.50793651
MA	32.04248975
MA	37.68201014
MA	37.67788304
MA	30.1497107
PLE	39.63636364
PLE	40.61111111
PLE	40.18181818
PLE	38.25
PLE	42.8125
PLE	38.58823529
PLE	37.18181818
PLE	40.07142857
PLE	39.29411765
PLE	38
