SP	Value
CHU	0.268
CHU	0.028
CHU	0.343
CHU	0.255
CHU	0.043
CHU	0.148
CHU	0.336
CHU	0.42
CHU	0.226
CHU	0.255
CO	1.342
CO	1.251
CO	1.235
CO	1.459
CO	0.733
CO	1.022
CO	0.97
CO	0.807
CO	0.873
CO	1.104
ER	0.449
ER	0.129
ER	0.086
ER	0.397
ER	0.14
ER	0.39
ER	0.164
ER	0.229
ER	0.258
ER	0.109
HY	0.056
HY	0.16
HY	0.053
HY	0.032
HY	0.05
HY	0.128
HY	0.038
HY	0.073
HY	0.021
HY	0.036
LE	0.06
LE	0.089
LE	0.131
LE	0.395
LE	0.047
LE	0.189
LE	0.084
LE	0.132
LE	0.026
LE	0.192
MA	0.917
MA	0.636
MA	0.992
MA	1.031
MA	0.642
MA	0.951
MA	0.907
MA	1
MA	1.653
MA	1.018
PLE	0.185
PLE	0.566
PLE	0.372
PLE	0.688
PLE	0.521
PLE	0.642
PLE	0.532
PLE	0.442
PLE	0.663
PLE	0.865
