SP	Value
CHU	10.38759082
CHU	11.4161676
CHU	11.82258845
CHU	11.61660762
CHU	11.39462742
CHU	10.9337975
CHU	11.67117545
CHU	10.28950024
CHU	13.46277053
CHU	10.18593419
CO	7.273942072
CO	9.458266364
CO	6.788615573
CO	10.53671107
CO	5.88490494
CO	4.937999897
CO	4.985732732
CO	6.319106869
CO	4.552641817
CO	5.793621986
ER	6.713737479
ER	8.551152301
ER	5.974764127
ER	7.853123458
ER	6.909602005
ER	5.449426615
ER	7.221492238
ER	9.281342427
ER	6.2974956
ER	6.560286585
HY	33.33268339
HY	27.73945612
HY	44.51364047
HY	31.72596645
HY	36.0784385
HY	36.73254882
HY	39.27768346
HY	53.54619124
HY	21.60493466
HY	23.42865307
LE	11.73572472
LE	11.33557182
LE	20.93621122
LE	38.05061423
LE	61.75479693
LE	11.15632439
LE	19.37882094
LE	7.23376037
LE	17.34187649
LE	14.62829395
MA	4.086084351
MA	3.226245147
MA	3.773674114
MA	3.867432003
MA	4.026551896
MA	3.416847938
MA	3.788239378
MA	3.665136149
MA	3.552320132
MA	3.318945575
PLE	10.0871895
PLE	7.46401855
PLE	9.558081787
PLE	6.924213324
PLE	7.143653022
PLE	8.471867988
PLE	10.39404211
PLE	8.153411373
PLE	7.857528144
PLE	10.31574481
