SP	Value
CHU	0.00416
CHU	0.04472
CHU	0.00014
CHU	0.02844
CHU	0.02374
CHU	0.02976
CHU	0.00428
CHU	0.02344
CHU	0.03656
CHU	0.03294
CHU	0.03362
CHU	0.00268
CHU	0.02454
CHU	0.0385
CHU	0.01834
CO	0.04818
CO	0.0759
CO	0.08902
CO	0.0854
CO	0.04486
CO	0.04042
CO	0.03244
CO	0.11042
CO	0.01884
CO	0.00602
CO	0.06978
CO	0.04428
CO	0.01394
CO	0.06604
CO	0.06998
ER	0.04866
ER	0.08922
ER	0.04436
ER	0.04022
ER	0.0369
ER	0.03246
ER	0.02448
ER	0.00194
ER	0.07384
ER	0.05866
ER	0.04596
ER	0.04182
ER	0.0539
ER	0.04974
ER	0.0465
HI	0.06394
HI	0.03966
HI	0.04436
HI	0.04466
HI	0.0757
HI	0.01014
HI	0.05078
HI	0.05452
HI	0.03876
HI	0.05394
HI	0.04356
HI	0.0587
HI	0.0097
HI	0.03584
HI	0.0124
LE	0.00444
LE	0.01184
LE	0.01052
LE	0.00372
LE	0.05232
LE	0.01768
LE	0.04846
LE	0.02276
LE	0.01094
LE	0.03882
LE	0.00178
LE	0.03504
LE	0.01812
LE	0.02064
LE	0.01542
MA	0.04812
MA	0.0353
MA	0.09906
MA	0.07356
MA	0.04322
MA	0.07906
MA	0.10628
MA	0.12024
MA	0.10008
MA	0.09114
MA	0.08698
MA	0.08374
MA	0.14014
MA	0.114
MA	0.10138
PLE	0.00136
PLE	0.02524
PLE	0.03126
PLE	0.03444
PLE	0.01852
PLE	0.03702
PLE	0.01508
PLE	0.01902
PLE	0.01566
PLE	0.00296
PLE	0.01984
PLE	0.0035
PLE	0.03376
PLE	0.02114
PLE	0.0572
