Observed	Expected
0.1524	0.1561
0.1930	0.1468
0.1481	0.1329
0.1767	0.1844
0.1720	0.1704
0.1780	0.1612
0.1440	0.1159
0.1717	0.1535
0.1848	0.1442
0.1812	0.1303
0.1406	0.1386
0.1362	0.1293
0.1282	0.1154
0.2062	0.1669
0.1146	0.1035
0.1018	0.0887	
0.1656	0.1262
0.1401	0.1169
0.1097	0.1030
0.1618	0.1530
0.1658	0.1437
0.1776	0.1695
0.1624	0.1556	
0.1497	0.1463
0.1456	0.1062
0.1728	0.1437
0.1867	0.1344
0.1666	0.1205
0.1576	0.1289
0.1535	0.1196
0.1502	0.1057
0.2066	0.1571
0.1805	0.1432
0.1679	0.1339
0.2039	0.1839
